Date(UTC),AverageBlockTime
7/30/2015,4.46
7/31/2015,12.58
8/1/2015,16.34
8/2/2015,16.12
8/3/2015,16.37
8/4/2015,16.1
8/5/2015,16.51
8/6/2015,16.89
8/7/2015,16.65
8/8/2015,16.44
8/9/2015,16.86
8/10/2015,16.44
8/11/2015,16.37
8/12/2015,16.86
8/13/2015,16.34
8/14/2015,14.88
8/15/2015,16.04
8/16/2015,16.84
8/17/2015,16.16
8/18/2015,17.46
8/19/2015,16.64
8/20/2015,21.47
8/21/2015,16.98
8/22/2015,16.39
8/23/2015,17.24
8/24/2015,16.67
8/25/2015,16.95
8/26/2015,17.27
8/27/2015,18.35
8/28/2015,18.57
8/29/2015,19.93
8/30/2015,20.77
8/31/2015,20.87
9/1/2015,21.86
9/2/2015,24.12
9/3/2015,25.53
9/4/2015,19.3
9/5/2015,17.48
9/6/2015,17.19
9/7/2015,17.77
9/8/2015,17.46
9/9/2015,17.12
9/10/2015,17.18
9/11/2015,16.71
9/12/2015,17.11
9/13/2015,17.25
9/14/2015,17.61
9/15/2015,17.75
9/16/2015,17.32
9/17/2015,17.91
9/18/2015,17.57
9/19/2015,16.9
9/20/2015,16.04
9/21/2015,16.87
9/22/2015,17
9/23/2015,16.58
9/24/2015,17.1
9/25/2015,16.73
9/26/2015,17.32
9/27/2015,17.92
9/28/2015,18.02
9/29/2015,18.51
9/30/2015,18.04
10/1/2015,16.45
10/2/2015,16.62
10/3/2015,16.84
10/4/2015,17.47
10/5/2015,17.05
10/6/2015,17.67
10/7/2015,17.09
10/8/2015,16.6
10/9/2015,17.45
10/10/2015,17.44
10/11/2015,16.91
10/12/2015,16.48
10/13/2015,16.76
10/14/2015,17.3
10/15/2015,17.39
10/16/2015,17.56
10/17/2015,16.86
10/18/2015,17.28
10/19/2015,17.29
10/20/2015,17.2
10/21/2015,17.22
10/22/2015,17.78
10/23/2015,16.26
10/24/2015,16.52
10/25/2015,16.74
10/26/2015,17.52
10/27/2015,16.5
10/28/2015,17.33
10/29/2015,16.64
10/30/2015,16.3
10/31/2015,16.65
11/1/2015,16.54
11/2/2015,17.04
11/3/2015,16.83
11/4/2015,16.79
11/5/2015,16.85
11/6/2015,16.56
11/7/2015,17.27
11/8/2015,17.02
11/9/2015,17
11/10/2015,16.92
11/11/2015,17.08
11/12/2015,16.84
11/13/2015,16.63
11/14/2015,16.64
11/15/2015,16.52
11/16/2015,16.97
11/17/2015,16.54
11/18/2015,16.81
11/19/2015,17.04
11/20/2015,18.1
11/21/2015,16.97
11/22/2015,16.9
11/23/2015,16.65
11/24/2015,17.21
11/25/2015,17.37
11/26/2015,17.36
11/27/2015,16.5
11/28/2015,16.96
11/29/2015,16.84
11/30/2015,16.75
12/1/2015,16.92
12/2/2015,17.86
12/3/2015,16.46
12/4/2015,17.09
12/5/2015,17.07
12/6/2015,17.42
12/7/2015,17.18
12/8/2015,17.39
12/9/2015,16.46
12/10/2015,16.71
12/11/2015,16.93
12/12/2015,16.82
12/13/2015,16.29
12/14/2015,17.12
12/15/2015,16.91
12/16/2015,17.13
12/17/2015,16.86
12/18/2015,17.06
12/19/2015,16.89
12/20/2015,17.07
12/21/2015,17.14
12/22/2015,16.63
12/23/2015,16.73
12/24/2015,17.04
12/25/2015,16.82
12/26/2015,17.08
12/27/2015,16.96
12/28/2015,16.65
12/29/2015,17.18
12/30/2015,17.03
12/31/2015,16.97
1/1/2016,17.43
1/2/2016,16.74
1/3/2016,16.51
1/4/2016,16.61
1/5/2016,16.47
1/6/2016,16.63
1/7/2016,16.99
1/8/2016,16.28
1/9/2016,16.59
1/10/2016,16.59
1/11/2016,16.51
1/12/2016,17.23
1/13/2016,16.93
1/14/2016,16.66
1/15/2016,16.61
1/16/2016,16.79
1/17/2016,16.76
1/18/2016,16.71
1/19/2016,16.93
1/20/2016,16.72
1/21/2016,16.97
1/22/2016,16.81
1/23/2016,17.12
1/24/2016,16.39
1/25/2016,17.31
1/26/2016,16.37
1/27/2016,16.96
1/28/2016,16.96
1/29/2016,17.27
1/30/2016,17.11
1/31/2016,17.63
2/1/2016,16.96
2/2/2016,17.15
2/3/2016,16.36
2/4/2016,16.8
2/5/2016,16.84
2/6/2016,17.05
2/7/2016,16.69
2/8/2016,16.75
2/9/2016,16.92
2/10/2016,17.26
2/11/2016,17.02
2/12/2016,16.99
2/13/2016,16.82
2/14/2016,17.03
2/15/2016,17.2
2/16/2016,17.02
2/17/2016,17.5
2/18/2016,17.1
2/19/2016,16.91
2/20/2016,16.83
2/21/2016,16.81
2/22/2016,16.68
2/23/2016,17
2/24/2016,16.89
2/25/2016,16.51
2/26/2016,16.76
2/27/2016,16.95
2/28/2016,16.8
2/29/2016,17.47
3/1/2016,16.58
3/2/2016,16.58
3/3/2016,16.71
3/4/2016,16.87
3/5/2016,16.32
3/6/2016,17.17
3/7/2016,16.8
3/8/2016,16.76
3/9/2016,16.81
3/10/2016,16.18
3/11/2016,16.68
3/12/2016,16.75
3/13/2016,16.08
3/14/2016,16.53
3/15/2016,14.09
3/16/2016,14.01
3/17/2016,13.82
3/18/2016,14.08
3/19/2016,13.7
3/20/2016,13.9
3/21/2016,14.01
3/22/2016,13.85
3/23/2016,14.04
3/24/2016,13.71
3/25/2016,13.78
3/26/2016,13.72
3/27/2016,13.85
3/28/2016,14.05
3/29/2016,13.98
3/30/2016,13.86
3/31/2016,13.95
4/1/2016,13.75
4/2/2016,14.12
4/3/2016,13.91
4/4/2016,13.8
4/5/2016,13.94
4/6/2016,14.07
4/7/2016,14.16
4/8/2016,13.81
4/9/2016,14.12
4/10/2016,13.82
4/11/2016,14.14
4/12/2016,13.91
4/13/2016,13.95
4/14/2016,13.91
4/15/2016,13.86
4/16/2016,13.93
4/17/2016,13.91
4/18/2016,13.79
4/19/2016,14
4/20/2016,13.88
4/21/2016,14
4/22/2016,13.94
4/23/2016,13.89
4/24/2016,13.95
4/25/2016,13.7
4/26/2016,14.05
4/27/2016,13.87
4/28/2016,13.88
4/29/2016,13.88
4/30/2016,13.84
5/1/2016,14.09
5/2/2016,13.86
5/3/2016,13.78
5/4/2016,14.04
5/5/2016,13.92
5/6/2016,13.91
5/7/2016,13.97
5/8/2016,13.83
5/9/2016,13.96
5/10/2016,13.85
5/11/2016,14.22
5/12/2016,13.69
5/13/2016,13.65
5/14/2016,13.93
5/15/2016,13.94
5/16/2016,14.03
5/17/2016,13.74
5/18/2016,13.85
5/19/2016,13.96
5/20/2016,13.9
5/21/2016,14.02
5/22/2016,13.8
5/23/2016,13.91
5/24/2016,14
5/25/2016,13.91
5/26/2016,13.89
5/27/2016,13.8
5/28/2016,13.85
5/29/2016,13.91
5/30/2016,13.92
5/31/2016,14.14
6/1/2016,13.88
6/2/2016,13.86
6/3/2016,13.81
6/4/2016,13.85
6/5/2016,13.99
6/6/2016,13.69
6/7/2016,13.95
6/8/2016,13.79
6/9/2016,13.75
6/10/2016,14.21
6/11/2016,13.68
6/12/2016,13.86
6/13/2016,13.85
6/14/2016,13.82
6/15/2016,13.91
6/16/2016,13.97
6/17/2016,14.03
6/18/2016,13.76
6/19/2016,13.43
6/20/2016,14.03
6/21/2016,13.97
6/22/2016,13.65
6/23/2016,14.01
6/24/2016,13.84
6/25/2016,13.98
6/26/2016,13.85
6/27/2016,13.89
6/28/2016,13.8
6/29/2016,14.01
6/30/2016,13.97
7/1/2016,13.71
7/2/2016,13.95
7/3/2016,13.91
7/4/2016,13.85
7/5/2016,14.11
7/6/2016,13.75
7/7/2016,13.93
7/8/2016,14.01
7/9/2016,13.71
7/10/2016,13.92
7/11/2016,13.87
7/12/2016,13.99
7/13/2016,13.85
7/14/2016,13.96
7/15/2016,14.04
7/16/2016,13.78
7/17/2016,13.94
7/18/2016,13.69
7/19/2016,14
7/20/2016,14.05
7/21/2016,13.65
7/22/2016,14.08
7/23/2016,13.84
7/24/2016,14.16
7/25/2016,13.94
7/26/2016,14.42
7/27/2016,13.79
7/28/2016,14.21
7/29/2016,14.45
7/30/2016,14.44
7/31/2016,14.33
8/1/2016,14.49
8/2/2016,14.66
8/3/2016,14.44
8/4/2016,13.95
8/5/2016,14.24
8/6/2016,14.46
8/7/2016,14.22
8/8/2016,14.26
8/9/2016,14.1
8/10/2016,14.27
8/11/2016,14.24
8/12/2016,14.37
8/13/2016,14.32
8/14/2016,14.32
8/15/2016,14.19
8/16/2016,14.27
8/17/2016,14.38
8/18/2016,14.16
8/19/2016,14.37
8/20/2016,14.27
8/21/2016,14.2
8/22/2016,14.22
8/23/2016,14.36
8/24/2016,14.28
8/25/2016,14.18
8/26/2016,14.39
8/27/2016,14.22
8/28/2016,14.32
8/29/2016,14.37
8/30/2016,14.34
8/31/2016,14.22
9/1/2016,14.43
9/2/2016,14.18
9/3/2016,14.53
9/4/2016,14.34
9/5/2016,14.22
9/6/2016,14.42
9/7/2016,14.11
9/8/2016,14.37
9/9/2016,14.23
9/10/2016,14.4
9/11/2016,14.18
9/12/2016,14.25
9/13/2016,14.39
9/14/2016,14.18
9/15/2016,14.32
9/16/2016,14.25
9/17/2016,14.3
9/18/2016,15.43
9/19/2016,13.48
9/20/2016,14.01
9/21/2016,14.25
9/22/2016,15.04
9/23/2016,13.87
9/24/2016,14.71
9/25/2016,13.79
9/26/2016,14.79
9/27/2016,14.27
9/28/2016,14.15
9/29/2016,14.11
9/30/2016,14.37
10/1/2016,14.96
10/2/2016,14.04
10/3/2016,13.85
10/4/2016,14.13
10/5/2016,14.69
10/6/2016,14.44
10/7/2016,14.4
10/8/2016,13.73
10/9/2016,14.17
10/10/2016,14.16
10/11/2016,14.2
10/12/2016,14.48
10/13/2016,13.94
10/14/2016,14.13
10/15/2016,14.25
10/16/2016,14.2
10/17/2016,14.39
10/18/2016,14
10/19/2016,14.74
10/20/2016,13.65
10/21/2016,14.11
10/22/2016,14.24
10/23/2016,14.38
10/24/2016,14.15
10/25/2016,14.26
10/26/2016,14.13
10/27/2016,14.29
10/28/2016,14.49
10/29/2016,15.16
10/30/2016,14.18
10/31/2016,14.12
11/1/2016,14.75
11/2/2016,14.46
11/3/2016,14.46
11/4/2016,14.58
11/5/2016,14.33
11/6/2016,14.17
11/7/2016,13.6
11/8/2016,13.97
11/9/2016,14.49
11/10/2016,14.4
11/11/2016,14.37
11/12/2016,14.12
11/13/2016,13.85
11/14/2016,14.13
11/15/2016,14.33
11/16/2016,14.21
11/17/2016,14.61
11/18/2016,13.67
11/19/2016,13.92
11/20/2016,13.87
11/21/2016,14.12
11/22/2016,14.47
11/23/2016,14.5
11/24/2016,14.44
11/25/2016,14.13
11/26/2016,14.56
11/27/2016,14.53
11/28/2016,14.3
11/29/2016,14.43
11/30/2016,14.26
12/1/2016,14.27
12/2/2016,14.22
12/3/2016,14
12/4/2016,14.4
12/5/2016,14.34
12/6/2016,14.09
12/7/2016,14.17
12/8/2016,14.03
12/9/2016,14.22
12/10/2016,14.16
12/11/2016,14.11
12/12/2016,14.35
12/13/2016,14.17
12/14/2016,14.14
12/15/2016,14.33
12/16/2016,14.15
12/17/2016,14.07
12/18/2016,14.13
12/19/2016,14.27
12/20/2016,14.19
12/21/2016,14.19
12/22/2016,14.42
12/23/2016,14.43
12/24/2016,14.33
12/25/2016,14.07
12/26/2016,14.18
12/27/2016,14.38
12/28/2016,14.19
12/29/2016,14.12
12/30/2016,14.17
12/31/2016,14.34
1/1/2017,14.09
1/2/2017,14.21
1/3/2017,14.28
1/4/2017,13.99
1/5/2017,14.1
1/6/2017,14.32
1/7/2017,14.09
1/8/2017,14.13
1/9/2017,14.16
1/10/2017,14.27
1/11/2017,14.24
1/12/2017,14.21
1/13/2017,14.1
1/14/2017,14.18
1/15/2017,14.14
1/16/2017,14.22
1/17/2017,14.36
1/18/2017,14.18
1/19/2017,14
1/20/2017,14.41
1/21/2017,14.27
1/22/2017,14.18
1/23/2017,14.22
1/24/2017,14.23
1/25/2017,14.31
1/26/2017,14.14
1/27/2017,14.36
1/28/2017,14.21
1/29/2017,14.43
1/30/2017,14.1
1/31/2017,14.29
2/1/2017,14.32
2/2/2017,14.2
2/3/2017,14.38
2/4/2017,14.12
